;янв.;фев.;март;1 квар.;апрель;май;июнь;2 квар.;июль;август;сент.;3 квар.
Номинальный курс доллара США к рублю на конец периода;56,29;55,67;57,26;57,26;62,00;62,59;62,76;62,76;62,78;68,08;65,59;65,59
Номинальный курс евро к рублю на конец периода;69,54;68,66;70,56;70,56;75,21;72,52;72,99;72,99;73,20;79,68;76,23;76,23
Средний номинальный курс доллара США к рублю за период;56,78;56,81;57,03;56,87;60,43;62,21;62,71;61,77;62,88;66,09;67,65;65,51
Средний номинальный курс евро к рублю за период;68,99;70,31;70,35;69,88;74,23;73,74;73,22;73,73;73,41;76,24;78,95;76,17
Средний номинальный курс доллара США к рублю за период с начала года;56,78;56,80;56,87;56,87;57,74;58,61;59,27;59,27;59,78;60,53;61,28;61,28
Средний номинальный курс евро к рублю за период с начала года;68,99;69,65;69,88;69,88;70,94;71,50;71,78;71,78;72,01;72,53;73,21;73,21
Индекс номинального курса рубля к доллару США;3,2;3,1;2,7;3,0;-3,0;-5,8;-6,6;-5,2;-6,8;-11,4;-13,4;-10,6
Индекс номинального курса рубля к евро;0,5;-1,4;-1,4;-0,7;-6,6;-5,9;-5,3;-5,9;-5,5;-9,0;-12,1;-8,9
Индекс номинального эффективного курса рубля к иностранным валютам;1,1;-0,4;-0,7;-0,0;-5,7;-6,0;-5,4;-5,7;-4,6;-7,3;-9,2;-7,1
Индекс реального курса рубля к доллару США;2,9;2,6;2,3;2,6;-3,5;-6,2;-6,7;-5,5;-6,6;-11,2;-13,1;-10,4
Индекс реального курса рубля к евро;1,1;-0,9;-1,1;-0,3;-6,1;-5,5;-4,4;-5,3;-4,5;-8,2;-11,3;-8,0
Индекс реального эффективного курса рубля к иностранным валютам;1,1;-0,7;-0,7;-0,1;-5,6;-5,8;-4,9;-5,4;-4,0;-7,1;-9,3;-6,8
